"FormatVersion","v1.0"
"Disclaimer","This pricing list is for informational purposes only. All prices are subject to the additional terms included in the pricing pages on http://aws.amazon.com. All Free Tier prices are also subject to the terms included at https://aws.amazon.com/free/"
"Publication Date","2017-01-27T22:16:42Z"
"Version","20170127221642"
"OfferCode","AmazonS3"
"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Availability","Storage Class","Volume Type","Fee Code","Fee Description","Group","Group Description","Transfer Type","From Location","From Location Type","To Location","To Location Type","usageType","operation","Durability"
"RQCZ7UJX79CM7C3C","JRTCKXETXF","RQCZ7UJX79CM7C3C.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - Amazon S3 accelerated data transfer out (to within US, Europe or Japan)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated AWS Outbound using edge locations within US, Europe or Japan","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-ABytes-T1","",
"3KMK3ZH6YT6P8MUA","JRTCKXETXF","3KMK3ZH6YT6P8MUA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.01 per 1,000 PUT, COPY, POST or LIST requests to Standard-Infrequent Access","2017-01-01","0","Inf","Requests","0.0000100000","USD","API Request","AmazonS3","US West (Oregon)","AWS Region",,,,,,"S3-API-SIA-Tier1","PUT/COPY/POST or LIST requests to Standard-Infrequent Access",,,,,,"USW2-Requests-SIA-Tier1","",
"9T23NTZE42HNQSMG","JRTCKXETXF","9T23NTZE42HNQSMG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer from Asia Pacific (Tokyo)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Inbound using edge locations within US, Europe or Japan","South America (Sao Paulo)","AWS Region","Asia Pacific (Tokyo)","AWS Region","SAE1-APN1-AWS-In-ABytes-T1","",
"7U3MYKS2ZTUM53TR","JRTCKXETXF","7U3MYKS2ZTUM53TR.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.040 per GB - South America (Sao Paulo) Amazon S3 accelerated data transfer to EU (Germany)","2017-01-01","0","Inf","GB","0.0400000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"Accelerated InterRegion Outbound from close by location","South America (Sao Paulo)","AWS Region","EU (Frankfurt)","AWS Region","SAE1-EUC1-AWS-Out-ABytes","",
"XWJ63J8BZ6XCMMAG","JRTCKXETXF","XWJ63J8BZ6XCMMAG.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer in to Asia Pacific (Sydney) from CloudFront","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","Asia Pacific (Sydney)","AWS Region","Amazon CloudFront","AWS Edge Location","APS2-CloudFront-In-Bytes","",
"Z567CND85Z2BUTVS","JRTCKXETXF","Z567CND85Z2BUTVS.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB - EU (London) data transfer from Asia Pacific (Sydney)","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Inbound","EU (London)","AWS Region","Asia Pacific (Sydney)","AWS Region","EUW2-APS2-AWS-In-Bytes","",
"5MES9BAWD44A2KUH","JRTCKXETXF","5MES9BAWD44A2KUH.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.02 per GB - Canada (Central) data transfer to US East (Ohio)","2017-01-01","0","Inf","GB","0.0200000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","Canada (Central)","AWS Region","US East (Ohio)","AWS Region","CAN1-USE2-AWS-Out-Bytes","",
"893YY33ZT2VG9JGZ","JRTCKXETXF","893YY33ZT2VG9JGZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.03 per GB - Expedited retrieval fee","2017-01-01","0","Inf","GB","0.0300000000","USD","Fee","AmazonS3","US East (N. Virginia)","AWS Region",,,,"S3-Expedited-Retrieval","Fee for Expedited Retrieval of data stored",,,,,,,,"Expedited-Retrieval-Bytes","",
"8F8EWNWJAXG3A339","JRTCKXETXF","8F8EWNWJAXG3A339.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.00 per GB data transfer out of Asia Pacific (Seoul) to CloudFront","2017-01-01","0","Inf","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"InterRegion Outbound","Asia Pacific (Seoul)","AWS Region","Amazon CloudFront","AWS Edge Location","APN2-CloudFront-Out-Bytes","",
"SDHP4R7WGBVJPQPY","JRTCKXETXF","SDHP4R7WGBVJPQPY.JRTCKXETXF.8EEUB22XNJ","OnDemand","$0.000 per GB - first 1 GB of data transferred out per month","2017-01-01","0","1","GB","0.0000000000","USD","Data Transfer","AWSDataTransfer",,,,,,,,,,"AWS Outbound","Asia Pacific (Singapore)","AWS Region","External","Other","APS1-DataTransfer-Out-Bytes","",
